Post,Comment,Sentiment
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,I highly doubt this research. Professionalism in Uganda has been compromised by politicians who want to justify their robbery of the country's resources and their continued stay in power. This is concocted data meant to justify their rot.,negative
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,UBOS just trying to prove they're relevant by paying monitor to publish their lies... Doing it the UNBS way,negative
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,These are total liars  how can 18000 impact in some ones life  and yet we spend a dollar every day  meaning that money can go for three days  how about the other days... not only that there has been alot of un uniformity in distribution of these fun  some districts have been left out.. as if they gazzetted old people to some districts alone....,negative
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,Stop lying ugandan how much is each elder getting that can reduce poverty?u are not even ashame,negative
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,Now this is arm chair statistics meant to appease the powers that be. 4 dollars a month compared with the ever rising cost of living  no poverty can be reduced. UBOS is now like UCC.,negative
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,Its unbelievable. Really can 18000/= monthly pay make someone rich. This is a lie.,negative
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,Association isn't causation.#polistatistics is a poor way of trying to justify programme continuity,negative
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,Who is fooling who,negative
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,That's absolute rubbish  how does 28000 shs token reduce poverty?,negative
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,Fantasy. How do elders put 18000ugs to multiplication after one full month,negative
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,Thuggery n lies of our times,negative
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,Stop deciving us 27000/ can do what?,negative
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,That¡¯s impossible......,negative
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,That's a hoax,negative
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,Hell noo.50 k that comes after 3months,neutral
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,Hahaha....sure?,negative
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,That is an open lie to destruct people's attention from what lacks for the country.,negative
Districts benefiting from elderly fund register decline in poverty ? Ubos survey,what alie?,negative
Uganda to prosecute US national on terrorism charges,rotten ug,negative
Uganda to prosecute US national on terrorism charges,I went to some Supermarket  a zungu was in front of me  he was not checked  when it was my turn to enter I was asked to be Checked  this is when I had to abuse the Askari who was at the entrance  I then turned my back and did not even enter the Supermarket.,negative
Uganda to prosecute US national on terrorism charges,In Uganda each and every government institution is rotten with corruption  every office u enter when u want something u have to first bribe every one working there ti when u get a signature for which the government is paying a huge sum of mone to them to do that for u  now these EBB immigration officers I don't even have a word to explain them.. #ForGodandmycountry.,negative
Uganda to prosecute US national on terrorism charges,Those immigration guys treat whites with baby gloves. I've never seen those chaps being checked like how they check us .some pass with goods without paying taxes.,negative
Uganda to prosecute US national on terrorism charges,All govt institutions right from state House down to the LC1 are corrupt and rotten to the core.no institution in Uganda today has a moral authority to investigate it point a finger at the other coz they're all the same.New govt new regime new leaders new everything is the only way to save this country.,negative
Uganda to prosecute US national on terrorism charges,How can a rotten insititution investigate its counterpart who is also rotten?The only thing is m7 kk and other generals out and uganda would be the #PEARLOFAFRICA.again.,positive
Uganda to prosecute US national on terrorism charges,Ah  maybe he was on his way to Somalia  and got a wrong  aviation  and besides how did he pass the two airports  and what if he wanted to cause havoc in the aircraft.? Guys  hundle him well,positive
